2022-04-28/18:53:16		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-04-28/18:53:17		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-04-28/18:53:18		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-04-28/18:53:19		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-04-28/18:53:20		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-04-28/18:53:21		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-04-28/18:53:22		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-04-28/18:53:24		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-04-28/18:53:25		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-04-28/19:11:24		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-04-28/19:11:25		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-04-28/19:11:25		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-04-28/19:11:26		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-04-28/19:11:26		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-04-28/19:11:27		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-04-28/19:11:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-04-28/19:11:28		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-04-28/19:11:28		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-04-29/16:39:47		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-04-29/16:39:48		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-04-29/16:39:48		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-04-29/16:39:49		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-04-29/16:39:50		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-04-29/16:39:50		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-04-29/16:39:52		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-04-29/16:39:52		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-04-29/16:39:53		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-07-27/21:05:25		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-07-27/21:05:26		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-07-27/21:05:26		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-07-27/21:05:27		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-07-27/21:05:28		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-07-27/21:05:29		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-07-27/21:05:30		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-07-27/21:05:32		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-07-27/21:05:32		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-07-27/21:50:13		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-07-27/21:50:14		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-07-27/21:50:14		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-07-27/21:50:15		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-07-27/21:50:15		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-07-27/21:50:16		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-07-27/21:50:16		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-07-27/21:50:17		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-07-27/21:50:18		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-07-28/08:29:00		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-07-28/08:29:00		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-07-28/08:29:01		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-07-28/08:29:01		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-07-28/08:29:02		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-07-28/08:29:02		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-07-28/08:29:03		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-07-28/08:29:04		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-07-28/08:29:04		 wafer_29012020_050617.csv: File Transformed successfully!!
